Room,Capacity,Date,Start,End,Available,Booked By,Notes
SDPK,60,2026-08-31,15:30,16:30,FALSE,9f5f324b,FOSS MEC Java Workshop
SDPK,60,,,,"TRUE",,Seminar room - AC - free when no date
Media Hall,120,,,,"TRUE",,Projector + Sound
Fab Lab,40,,,,"TRUE",,Lab access needed
Internal Auditorium,350,,,,"TRUE",,Main indoor auditorium
External Auditorium,600,,,,"TRUE",,Outdoor covered
Elga,80,,,,"TRUE",,Discussion room
College Ground,2000,,,,"TRUE",,Outdoor - weather dependent
College Library,100,,,,"TRUE",,Quiet - prior permission needed
Amphitheater,500,,,,"TRUE",,Open air
